City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
163,Rosetta,EG,31.4044,30.4164,69.3,68,0,5.17,clear sky
164,Faya,SA,18.3851,42.4509,59.11,35,98,4.65,overcast clouds
165,Coquimbo,CL,-29.9533,-71.3436,58.73,77,75,10.36,broken clouds
166,Chapais,CA,49.7834,-74.8492,53.38,58,80,9.78,broken clouds
167,Khatanga,RU,71.9667,102.5,8.42,96,97,7.09,overcast clouds
168,Sorong,ID,-0.8833,131.25,79.79,86,71,6.29,broken clouds
169,Palmer,US,42.1584,-72.3287,55.2,46,75,3.44,broken clouds
170,Yen Bai,VN,21.7,104.8667,73.81,82,92,2.1,overcast clouds
171,Esperance,AU,-33.8667,121.9,54.41,66,96,23.49,light rain
172,Japura,ID,-0.3167,102.35,72.91,99,100,2.75,overcast clouds
173,Carasova,RO,45.1986,21.87,48.11,68,82,1.1,broken clouds
174,Quatre Cocos,MU,-20.2078,57.7625,72.09,79,100,14.23,overcast clouds
175,Makakilo City,US,21.3469,-158.0858,86.32,56,0,20.71,clear sky
176,Villa Del Rosario,CO,7.8339,-72.4742,80.98,65,40,6.91,scattered clouds
177,Jining,CN,35.405,116.5814,54.19,62,6,2.68,clear sky
178,Faanui,PF,-16.4833,-151.75,80.24,72,29,13.82,scattered clouds
179,Hofn,IS,64.2539,-15.2082,45.97,96,100,12.77,overcast clouds
180,Port Elizabeth,ZA,-33.918,25.5701,61.11,87,100,10.36,overcast clouds
181,Tiznit,MA,29.5833,-9.5,75.67,14,36,7.02,scattered clouds
182,Skibbereen,IE,51.55,-9.2667,58.1,91,93,21.61,overcast clouds
183,Qaanaaq,GL,77.484,-69.3632,-6.39,76,10,7.67,clear sky
184,Homburg,DE,49.3167,7.3333,60.84,89,0,2.3,clear sky
185,Marzuq,YE,14.4,46.4667,65.48,51,62,2.66,broken clouds
186,Tura,IN,25.5198,90.2201,66.25,90,0,3.85,clear sky
187,Keti Bandar,PK,24.1447,67.4497,79.66,66,0,12.15,clear sky
188,Hastings,GB,50.8552,0.5729,61.52,86,59,13.04,broken clouds
189,Hervey Bay,AU,-25.2986,152.8535,75.92,76,3,10.02,clear sky
190,Manta,EC,-0.95,-80.7333,73.02,77,89,12.68,overcast clouds
191,Atambua,ID,-9.1061,124.8925,75.36,86,100,3.38,overcast clouds
192,Jalu,LY,29.0331,21.5482,64.65,54,0,9.78,clear sky
193,Margate,GB,51.3813,1.3862,60.91,91,52,3.0,broken clouds
194,Corbelia,BR,-24.7989,-53.3067,69.15,90,90,9.91,overcast clouds
195,Ixtapa,MX,20.7,-105.2,84.22,70,20,10.36,few clouds
196,Hobyo,SO,5.3505,48.5268,79.23,74,15,8.39,few clouds
197,Galesong,ID,-5.3166,119.3661,77.02,79,99,10.11,overcast clouds
198,Ziarat,PK,30.3823,67.7282,51.4,28,0,2.37,clear sky
199,Antofagasta,CL,-23.65,-70.4,61.88,68,0,3.69,clear sky
200,Zeya,RU,53.75,127.2667,29.7,97,100,7.02,snow
201,Ponta Do Sol,PT,32.6667,-17.1,73.71,83,90,4.97,overcast clouds
202,Saldanha,ZA,-33.0117,17.9442,57.25,69,0,27.65,clear sky
203,Kachiry,KZ,53.0675,76.1036,25.56,80,98,4.05,overcast clouds
204,Lorengau,PG,-2.0226,147.2712,83.89,67,84,6.62,broken clouds
205,Yellowknife,CA,62.456,-114.3525,24.57,93,100,13.8,light snow
206,Oranjestad,AW,12.524,-70.027,84.15,79,20,8.05,few clouds
207,Torbat-E Jam,IR,35.244,60.6225,49.28,83,19,2.68,few clouds
208,Nakano,JP,36.75,138.3667,47.37,97,0,1.12,clear sky
209,Berlevag,NO,70.8578,29.0864,39.2,65,100,25.32,overcast clouds
210,Salinopolis,BR,-0.6136,-47.3561,80.83,77,55,15.86,broken clouds
211,Leh,IN,34.1667,77.5833,31.64,45,66,2.71,broken clouds
212,Nouadhibou,MR,20.931,-17.0347,78.78,25,96,16.11,dust
